ID,Title,Delivery Team,PreConditions,Section,Section Hierarchy,Steps (Expected Result),Steps (Step),Tags,Type,Can be automated on Printers,Can be automated on Simulators,Cannot be automated,Need Information,Dependencies,Comments,
C51471133,Test is to make sure the user is able to receive events from the printer.,Workstream: Connectivity,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,"1. Print queue status ,EWS and UI should show Out of Paper and should print the print job successfully after keeping the paper.

2. Print queue should show PAPER JAM
Print queue should be READY when the PAPER JAM is removed.

3. Print queue ,EWS and UI should show NO TONER/INK
Print queue   should be READY when printer's catridge is inserted again.","1. Add a printer.
Keep the paper tray empty.
Fire a print job.
Expected Result:
Print queue status , EWS and UI should show Out of Paper and should print the print job successfully after keeping the paper.

2. Add a printer
Print a job.
create PAPER JAM while it is printing.
And clear the paper jam.
Expected Result:
Print queue should show PAPER JAM
Print queue should be READY when the PAPER JAM is removed.

3. Add a printer
Remove the catridge
Insert the catridge
Expected Result:
Print queue , EWS and UI should show NO TONER/INK
Print queue should be READY when printer's catridge is inserted again.","OSV-FWQA, Dune-Ares2.0",Other,,,,,,,
C51471134,Verify Print queue installation when the printer is in an error state like door open,Workstream: Connectivity,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,"1. Spooler should show the proper error status.
2. Spooler should show the proper error status.
3. Spooler should show the proper error status.

4.Printer should not be able to enter sleep mode with the User Intervention Scenario
Printer should not assert after resolving the paper Jam and clicking on OK.","1. Keep the paper tray empty.
Add a printer
Check spooler status
Expected Result:
Spooler should show the proper error status.
2. Remove the catridge from the printer
Add a printer
Check spooler status
Expected Result:
Spooler should show the proper error status.
3. Open the printer's door
Add a printer
Check spooler status



4)
1. Install a TCP Wired printer.
2. Send a print job.
3. Create the Error-handling Scenario like paper jam,out of paper,tray open,ink missing,catrdge jam
4.. Check Printer if enter sleep mode.


Expected Result:
Spooler should show the proper error status.
1.Create Paper Jam
2.Wait for 30 sec to 1 min and clear paper jam 
3.Click OK on the popup on UI","OSV-FWQA, Dune-Ares2.0",Other,,,,,,,
C51471135,Verify the 0 length file print.,Workstream: Connectivity,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,1. Print should not happen successfully.,"1. Test Pre-Requisite:
Upgrade the printer with latest firmware. 
Connect the printer in wired/wireless network.
Printer should be installed via P9100.

Protocols: IPV4/IPV6

1. Goto Start-> Devices and Printers-> Select Add a printer ->Choose Add a Local printer--> Next-> Create new port-->Select 'Standard TCP/IP protocol->Next->In Device Type, select TCP/IP Device->Enter IP address of the printer->Next->Have Disc-->Browse the path of driver and click on ""OK""-> Select the printer->Next->Proceed to complete the printer installation successfully.

Create a ""0"" length file using notepad or word.
Fire a print.
Expected Result:
Print should not happen successfully.","OSV-FWQA, Dune-Ares2.0",Manual,Yes,Yes,,,OS,,
C51471136,Verify the printer behavior while printing disable and enable P9100 and LPD ports from SNMP or EWS.,Workstream: Connectivity,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,"1. When disabling P9100, respective print job should be stopped and LPD jobs in the queue should go through successfully and vice versa.","1. Test Pre-Requisite:
Upgrade the printer with latest firmware. 
Connect the printer in wired/wireless network.
Printer should be installed.
Protocols: IPV4/IPV6

1. Goto Start-> Devices and Printers-> Select Add a printer ->Choose Add a Local printer--> Next-> Create new port-->Select 'Standard TCP/IP protocol->Next->In Device Type, select TCP/IP Device->Enter IP address of the printer->Next->Have Disc-->Browse the path of driver and click on ""OK""-> Select the printer->Next->Proceed to complete the printer installation successfully.
2. Do a right click on the selected printer and goto configure port-> Choose LPD port and give a LPD queue name as ""text"", ""auto"", ""queue""->click on Apply and OK button.
Create a huge size print job and send a print via P9100  and LPD.
While printer is printing the job, disable P9100/LPD from EWS page or SNMP.
Expected Result:
When disabling P9100, respective print job should be stopped and LPD jobs in the queue should go through successfully and vice versa.




If LPD is not supported Enable/Disable 9100 from EWS/SNMP","OSV-FWQA, Dune-Ares2.0",Manual,Yes,Yes,,,,,
C51471137,Verify the printing behaviour under different conditions.,,Check with both wired/wireless Interface ,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,"1. Both print and copy jobs should be printed successfully.
2. Print shouldn't go to bad state.
3. Print job should be successfully printed after the printer is powered up.
4. The print job should be completely printed.
5. The print job should be completely printed.

6.Result
2)Printer should not be awake during the installation and able to install successfully
2)Printer should be awake when printing the Windows self-test page.
3)Printer should not be awake when system enter sleep mode.
4)Printer should not be awake when system wakes up from sleep mode
5)Printer is not able to print the HP Network Config Page at Step(1)
6)Printer will only be print HP Network Config page at Step (2)","1. Add a printer 
Send a large job. 
Perform a copy job while the printer is printing.
Expected Result:
Both print and copy jobs should be printed successfully.
2. Add a printer.
Send a large job.
Reboot the printer when it is printing the job.
Expected Result:
Print shouldn't go to bad state.
3. Add a printer
Power off the printer
Send a job.
Power on the printer.
Expected Result:
Print job should be successfully printed after the printer is powered up.
4. Turn off the printer.
Send a print job and wait for 15 minutes.
Turn on the printer.
Expected Result:
The print job should be completely printed.
5. Test Pre-Requisite:
Upgrade the printer with latest firmware. 
Connect the printer in wired/wireless network.
Protocols: IPV4/IPV6

6.steps:
1)keep the device idle so that printer goes to sleep mode
2)Install a TCP/IP printer and Observe the printer during the installation
3) Set system to ""Hibernate"" or ""Sleep"" mode.(System that was used for
printer installation ) and Observe the printer.
4) Wake up the system and Observe the printer
5)Press the Network button at the printer's front panel and Observe the printer
6)Press the Network button at the printer's front panel again

Keep the paper tray empty.
Send a print job and wait for 15 minutes.
Fill the paper tray and close it.
Expected Result:
The print job should be completely printed.","OSV-FWQA, Dune-Ares2.0",Manual,,,Cannot be automated,,,Power off and power on (15min gap),
C51471138,Verify P9100 Print settings after restore Factory defaults,Workstream: Connectivity,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,"1.P9100 print services should get enabled.
2.P9100 print services should get enabled.","1.Open printers EWS using a web browser. 2.Navigate to Network tab->Advanced Settings->P9100 print tab and Disable 9100 print services. 3. Perform factory restore settings 4. Check the status of 9100 print services. Expected Result: P9100 printing services should get enabled.
2.9100 printing tab->Enable 9100 printing->Perform Restore Factory Default.","OSV-FWQA, Dune-Ares2.0",Manual,Yes,Yes,,,,,
C51471269,Verify Job cancel when the client is spooling,,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,1. Job should get cancelled.,"1. Add a printer
Print a large job (>10mb). 
Cancel the job while it is getting spooled.
Expected Result:
Job should get cancelled.","OSV-FWQA, Dune-Ares2.0",Manual,Yes,Yes,,,file (size>10mb) and OS,,
C51471271,verify the printer behavior in different subnet.,,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,"1. There should not be any connection loss between the client and the printer.
Continous ping should be succesfull.
Print job should be happen.","1. 1. Connect the printer(eg: Printer IP: 10.60.a.b) and subnet mask: 255.255.255.0) and the test machine(eg: IP: 192.168.x.y and subnet mask: 255.255.255.0) in different subnets.
2. Open command prompt and do a continuous ping .(ie: ping <Printer IP addr> -t).
3. Install a printer using Add a printer method via P9100.
4. Fire a test page print or any other file.
Expected Result:
There should not be any connection loss between the client and the printer.
Continous ping should be succesfull.
Print job should be happen.","OSV-FWQA, Dune-Ares2.0",Manual,Yes,Yes,,,OS,,
C51471272,Verify the printer behaviour after installation of the printer in different platform.,,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,1. Printer installation should be successful and print should go through successfully.,"1. Test Pre-Requisite:
Upgrade the printer with latest firmware. 
Connect the printer in wired/wireless network.
Protocols: IPV4/IPV6

Install a printer via P9100 in Linux platform.
Fire a test page print or supported application file print.
Expected Result:
Printer installation should be successful and print should go through successfully.","OSV-FWQA, Dune-Ares2.0",Manual,Yes,Yes,,,Linux platform,,
C51471273,Verify the printer installation through Add printer wizard using IP Address,,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,"1. Print test page should be succcessful. Also, in wireshark packet capture, communication between the client and server happens via TCP port(9100).
2. Print test page should be succcessful. Also, in wireshark packet capture, communication between the client and server happens via TCP port(9100).","1. Test Pre-Requisite:

Upgrade the printer with latest firmware. 
Connect the printer in wired/wireless network.

Protocols: IPV4/IPV6

Goto Start->Control panel->Devices and Printers->Add a printer->Add a local printer->select ""create a new port""->choose type of port->Standard TCP/IP port->Enter the printer IP address or hostname-give the ipv4/ipv6 address of the printer->Choose the discrete driver path to install the driver->Click on ""Next"" to complete the wizard to install the printer successfully.
Fire a test page print.
Expected Result:
Print test page should be succcessful. Also, in wireshark packet capture, communication between the client and server happens via TCP port(9100).
2. Goto Start->Control panel->Devices and Printers->Add a printer->Add a local printer->select ""create a new port""->choose type of port->Standard TCP/IP port->Enter the printer IP address or hostname->Enter the Hostname of the printer->Choose the discrete driver path to install the driver->Click on ""Next"" to complete the wizard to install the printer successfully.
Fire a test page print.
Expected Result:
Print test page should be succcessful. Also, in wireshark packet capture, communication between the client and server happens via TCP port(9100).","OSV-FWQA, Dune-Ares2.0",Manual,,,Cannot be automated,,Need to check output in wireshark,,
